text,label,notes
"Durant On Warriors: ""I didn't have no relationship with nobody on the Warriors… They never been a winning organization when I was in the league. Nobody liked Golden State. It felt like an underdog to me because I'm looking at the totality of the franchise, not what happened these last 5 years""",news_information,
THE OKLAHOMA CITY THUNDER HAVE BEEN ELIMINATED FROM 2026 NBA CHAMPIONSHIP CONTENTION,news_information,
"[ESPN] Gregg Popovich once called Steve Kerr to tell him he'd finally decided to retire. Steve congratulated him on a Hall of Fame career. A week later Pop signed an extension with San Antonio. ""I realized he couldn't do it,"" Kerr said. ""He couldn't walk away...the job itself is so addictive.""",news_information,
The only way I would tolerate the Aspiration scandal ending,hot_take,
THE NEW YORK KNICKS ARE YOUR 2026 NBA CHAMPIONS,reaction,
14 Years Ago Today - Chris Bosh Pours Champange All Over His Face After Winning Championship,news_information,
LeBron James’ Athleticism During His First Cleveland Stint,news_information,
Knicks fans at MSG boo the president during National Anthem,news_information,
Arguably LeBron's best pass ever - an absolute bullet to Big Z for the easy basket (2006),hot_take,
"[Highlight] ""Thank you, mama. I appreciate you getting me one."" - Karl-Anthony Towns",hot_take,
NJ father and son attacked after Knicks championship game in San Antonio,news_information,
"Draymond Green on Wembanyama: ""you get to a certain height where it becomes a disservice in this league, there's nothing he can do about being 7'5, but I'm not sure 7'5 suits you better than being 7'1 with his skill set, being 7'5 almost does him a disservice""",analysis,
[Highlight] OG Anunoby tips the ball in to give the Knicks the lead,analysis,
"Charles Oakley: ""Patrick (Ewing) always been like that. He never stood up for nobody. And the coldest thing out of this all, I took a case for Patrick on an airplane. Put that out there. I took a case from him. Ask any teammate, Chris Childs, Charles, Allen, John, they might not say nothing""",hot_take,
"Jalen Brunson when asked if leaving $113M on the table was worth it to win a championship: ""100 percent worth it.""",news_information,
"[Charania] Atlanta Hawks guard CJ McCollum has agreed to a one-year, $21 million contract extension with the franchise, plus a trade kicker.",news_information,
"Charles Oakley: ""I was supposed to be on the Roommate podcast. I get a call the day before. They said, we have to cancel you. And then three weeks later, guess who was on there? Dolan.""",news_information,
[Highlight] KAT and Mayor Mamdani lean back together on the Knicks’ float,news_information,
"Kevin Garnett Speaks on Wemby: ""I would love to work with big fella, but this generation has a preference on how they want to workout, and I have to respect that.""",hot_take,
"AJ Dybantsa says he didn't work out for any NBA teams: “I didn’t work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don’t gotta workout. They know what I can do.”",hot_take,
Og Anunoby’s First Move After Winning The Nba Championship Was Handpicking Five Shelter Cats In New York City For Adoption - Three Have Already Found Homes Within Days,news_information,
r/nba player rankings 2026,analysis,
LeBron James Turns Glass Bottle Into Bazooka At Reunion,analysis,
De’Aaron Fox on the president attending the Knicks game: “The president being here just makes it inconvenient on everybody else”,hot_take,
"presumptive top 4 picks (AJ Dybantsa, Darryn Peterson, Cam Boozer, Caleb Wilson) averaged a combined 88.0 points in college. That'd be the highest sum in the entire 2000s",analysis,
NBA players with cajun spelling,news_information,
[Fischer] The Los Angeles Lakers have called the OKC Thunder to inquire about Lu Dort. The Thunder may pick up Dort’s player option and seek to trade him in order to acquire assets.,news_information,
Top 10 highest paid players next season,analysis,
"Karl Anthony Towns to Jalen Brunson: ""I want to make sure I amplify you to a whole other level that you havent even recognized for yourself. I want to be that partner in crime that you haven't had, and I want to make sure that every step of the way, anytime you go anywhere, you're never alone.""",news_information,
"[Bill Simmons Pod] Doc Rivers on James Harden: ""James doesn't give everybody else enough room to be great, he is the only one that can be great on his team.""",hot_take,
"Brunson is already the greatest Knick ever.,",hot_take,"""Strong claim without evidence."""
[Highlight] Wemby with a half-court buzzer beater to end the half,news_information,
When Russell Westbrook Hit a 40 Foot Game Winner The Same Night He Broke The Triple Double Record - 50 Points 16 Rebounds 10 Assists,news_information,
"Rudy Gobert reflects on his matchup with Victor Wembanyama and gives him his flowers: “My goal was to impact him physically. I know Victor well so I thought that over the course of a game or a series I could really wear him down over time, physically.",reaction,
"[Bill Simmons Pod] Bill: ""I don't want the Celtics to trade Jaylen Brown for Giannis""",reaction,
[JR Smith] on Instagram: “He reached out! We GOOD! God Bless the young GAWD!Greatest PG I’ve played with”,reaction,
Jose Alvarado on Victor Wembanyama not shaking hands with the Knicks: “I got mixed emotions… the way he did it was a little too crazy for me because I loved how he competed during the game.”,reaction,
14 years ago LeBron won his first championship.,reaction,
"Interviewer: ""Jaxson Hayes got Slovenian citizenship, what is your view about that. You probably care about those things."" Luka: ""Yes... I basically had nothing to do with that, so, I'm only playing for national team. But yes, boy is really okay. Good player, so it's amazing.""",reaction,
"When the NBA was formed via merger in 1949, eight of nine NBL teams entered the new NBA. The ninth, the all-Black, Black-owned Dayton Rens, was excluded. After inheriting the NBL’s worst record midseason, the Rens had a playoff-caliber mark, but the NBA cited the inherited record to disqualify them",analysis,
"The best chess player in the world Magnus Carlsen criticizes the NBA application: ""We have one of the best series in years going on right now in the Western Conference Finals, and when people have 'No Spoilers' on in the [application], they expect no spoilers. So, do better.""",reaction,
"[Fischer] I've also heard that Atlanta sees great value in Swain at No. 23, but the Hawks have been signaling for some time that they are prepared (and perhaps even prefer) to trade their second pick in the first round after No. 8 for future draft capital.",reaction,
"[Former Laker Head Athletic Trainer Gary Vitti] “I love Shaq, I absolutely adore him… but you had to be looking over your shoulder all the time. All the time.”",reaction,
"This past season, future Hall of Famer and 40-year-old Kyle Lowry averaged 1.2 points and 0.8 assists on 16% shooting. What is the worst that a future NBA hall of famer has ever been at any point in their careers?",analysis,
LeBron James plays near perfect defense on Kobe Bryant (2009),hot_take,"""Could be analysis"""
"[Charania] Free agent guard Collin Gillespie intends to sign a four-year, $48 million deal to return to the Phoenix Suns, sources tell ESPN. Gillespie spent three straight seasons on two-way contracts after going undrafted out of Villanova in 2022 and now earns a lucrative long-term deal.",news_information,
"19 years ago after the Spurs swept the Cavaliers, Tim Duncan tells a young LeBron James ""This is gonna be your league in a little while... but I appreciate you giving us this year.""",news_information,"""Coulb d be reaction"""
"De'Aaron Fox: ""We lost Game 3... but that was the first time he [Gregg Popovich] walked into the locker room and was like ""Nah, that's BS.. that's not how we play basketball"" and obviously he had some choice words for us...""",reaction,
"13 Years Ago Today, the Heat Went Back to Back. Watch LeBron Guard Every Position on the Floor.",news_information,
"Jimmy Butler to KAT: ""Soft as baby shit. You a loser. I already punked you once."" KAT: ""Call Rachel""",reaction,
[Murray] I don't think anyone should be assuming that the San Antonio Spurs are gonna get back here just because they got Wemby and some young guards This isn't just any Finals loss -- they led by double digits in EVERY GAME They're gonna have to get over that psychologically,reaction,
"Knicks legend Carmelo Anthony at the Knicks parade: ""I like to say we all won. The whole city won. Every player who ever came through here, like, this was the buildup for this moment.""",reaction,
[Wright] The Spurs remain committed to De'Aaron Fox as their starting point guard for the 2026-27 season despite the expectation that calls from Dylan Harper's camp for a spot in the starting lineup will grow louder going into next season.,news_information,
"Lost in the Knicks winning the NBA Championship last week: Jalen Brunson (2,240) has passed Kyrie Irving (2,211) in total career playoff points. He is just 30 away from passing Giannis Antetokounmpo (2,270)",news_information,
"[Charania] ESPN analyst Kendrick Perkins – 14-year NBA veteran and 2008 champion – has agreed to become the men's basketball General Manager of HBCU Jackson State, as well as a connection to its broadcast and journalism program, per Perkins.",analysis,
"Mike Greenberg on SGA style of play: “Watching him play is agonizing. It is not fun…. You have to understand that for the rest of us, watching this style of play is not like watching Steph, it’s not like watching Michael Jordan. It’s just not.”",reaction,
I read through each team's sub and compiled their initial reactions to the Knicks winning the chip,reaction,
"[Post Game Thread] The San Antonio Spurs (4-3) advance to the NBA Finals as they defeat the Oklahoma City Thunder (3-4) in Game 7, 111-103, behind Victor Wembanyama's 22 points, 7 rebounds, 2 assists, 2 stocks performance",analysis,
"Kingston Flemings on the craziest question he's been asked during the draft process: ""At the combine, a team asked me, 'If I could punch anybody in the face, who would it be?'"" Flemings declined to answer the question.",reaction,
"[Amick] League sources say Detroit Pistons big man Isaiah Stewart is available. The Pistons, in search of shooting and playmakers, appear ready to rely on Paul Reed in an increased role. Detroit is believed to be among the suitors for guard Austin Reaves and is also interested in Isaiah Joe.",news_information,
"Rewatching Game 7 of the 2016 Finals is crazy. There is no flailing, head snapping, falling down after every shot, jumping sideways, etc. They’re playing actually basketball down the stretch",news_information,
2009 Western Conference Semi-Finals. Series tied 1-1 going into a pivotal game 3. Ron Artest is trying to get into Kobe's head. Kobe hits a ridiculous shot at the end of the 3rd quarter to silence Artest. Lakers win the series in 7 and end up winning a ring,news_information,
Chuck watching Cardi B's halftime performance: “I don't know if those are B’s. They might be Cardi D’s...She should change her name.”,reaction,
Lance Stephenson just started throwing punches at everybody and the refs had to call the game before this Michael Beasley and Dwight Howard got ejected. All of this is on the first day of The Big 3 season,news_information,
[Late Night with Seth Meyers] Karl-Anthony Towns: “It was so amazing to see our team bring together New York…Hell I saw Brooklyn celebrating for the Knicks and they have a whole team!”,reaction,
"Kobe Bryant puts up an absurd 45 points on 20-26 shooting in December 2000. Kobe has the ball in clutch time in a 1 point game and the opposing announcer has a panic attack when Kobe gets the ball. ""HE'S GOING TO NEED HELP, PLEASE HELP""",hot_take,
Anthony Davis gets two bad calls in under 15 seconds. AD goes berserk and rushes at the ref. Demarcus Cousins has to stop him from first-degree murder,hot_take,
"[Highlight] Jay Williams says he can’t root for the Thunder because of the foul baiting: “As a fan of the game, I just want to see the game respected. There are times where I watch OKC play, I don’t feel like they respect the process of the game.”",reaction,
[Fischer] The Dallas Mavericks are showing interest in moving back in the draft with both the New Orleans Pelicans and Memphis Grizzlies have a known desire to acquire a top-10 pick.,news_information,
Julius Randle was to the Knicks what Demar DeRozan was to the Raptors,news_information,
The Lakers have been linked to Thunder guard Lu Dort as a potential trade target to pair with Luka Doncic,news_information,
"In the first Knicks Championship parade in over 53 years, James Dolan and NYC politicians got 13 minutes of podium mic time. All Knicks players combined got 2 minutes of podium mic time, including 0 minutes for KAT, OG, and Alvarado",analysis,
Random goalkeeper in WC game had a good game and went from 50k to 14.5 million followers. Wemby has 6.2 million. Does this show how basketball is not as global as some here think it is?,analysis,
"OG Anunoby was about the game-winning tip-in in Game 4: ""Is anything going through your mind when you're up in the air like that, or is it all instinct?"" OG Anunoby: ""I mean, I was trying to dunk it..."" *Everyone starts laughing*",reaction,
"Introducing The Brick Awards: celebrating the NBA’s worst, ugliest, and most embarrassing moments of the year. Drop your nominees.",news_information,
"[Scotto] With the Denver Nuggets currently projected to be near the second apron, they’ve signaled a willingness to discuss forward Zeke Nnaji and the No. 26 pick as a trade package",hot_take,
"[Spears] Wizards star Trae Young plans to decline his $48.97 million player option for the 2026–27 season to become a FA on Monday, sources. Washington remains the front runner for the four-time NBA All-Star as he loves the team and DC, but he still expects multiple team max interest.",analysis,
"With the Nova Knicks winning a chip in 2026, what other college champions could win in if they united in the NBA ?",news_information,
[McMenamin] Several league sources told ESPN they believe Rui Hachimura could be the odd man out and that he might need to explore the market to find a desired deal.,news_information,
[Smith] By my projections Suns will be roughly $4.6M under the tax and $12.6M under the first apron after re-signing Collin Gillespie. Can create more room if they move on from Haywood Highsmith and/or Jamaree Bouyea.,hot_take,
"Jalen Brunson: ""I don't know how many times I got to tell Mike to stop doing that shit"" -About Mike Brown doing the ""Who Let The Dogs Out"" with the crowd prior to his speech.",reaction,
"NYC Mayor Zoharan Mamdani on X: “We’ll win this series on the court (even if the refs refuse to call a flagrant on Wemby), not by targeting, harassing, or attacking Spurs fans”",reaction,
"[All-Access]""We brought the trophy home. Let's party, baby, let's party. Knicks in 5."" Jose Alvarado, the New York Native, celebrates with the crowd at the New York Knicks Championship Parade.",reaction,
"Alicia Keys Sings ""Empire State of Mind"" at Knicks Championship Parade With Knicks Team, Zohran Mamdani, & More Celebrities",reaction,
"Jalen Brunson (jokingly): ""I'm not a fan of Luka. He's actually, he's one one of the worst teammates I've ever had."" Kid Reporter: ""That's crazy. He doesn't play defense."" Jalen Brunson: ""Oh, wow. He plays a little defense. He tries.",reaction,
"[Jalen Brunson] ""Damn... We really did it dawg.""",reaction,
[Scotto] The Brooklyn Nets have attempted to move up into the top-four range of the NBA Draft by dangling their No. 6 pick with future first-round draft picks.,news_information,
"[Charania] BREAKING: The Chicago Bulls are finalizing the hire of Portland Trail Blazers interim Tiago Splitter as the franchise's new head coach, sources tell ESPN. Splitter succeeds Billy Donovan as the Bulls' coach after stepping into the head job and excelling in Portland last season.",news_information,
"Bobby Marks: ""I'm still of the belief it's Miami because when you look at Giannis, it's the superstar checklist of 3 things [that Buck want]: Draft Capital, Young Players On Controllable Contracts, Win NOW Players. I do think that Miami right now has the best package out there""",reaction,
"Jalen Brunson on people saying he's not a 1A guy: ""I didn't respond to them then, I'm damn sure not gonna respond to them now.""",reaction,
[Fischer] The Portland Trail Blazers were prepared to sacrifice up to 4 years worth of first-round draft capital at the trade deadline in a Giannis Antetokounmpo trade without knowing if he would sign an extension.,news_information,
"Leon Rose thanks Knicks fans in his speech at City Hall: ""We did it for you.""",reaction,
Tatum vs. Brunson 11 years ago in high school - Tatum scored 39 and led Chaminade to an 87-81 win over Stevenson despite Brunson's 48 points,news_information,
"alen Brunson gives his Bodega order to a kid from New York: “Peach Snapple. Purple Doritos. Everything bagel with egg and cheese, hash browns and spicy mayo.”",news_information,
"Luka Dončić on if he keeps in touch with Jalen Brunson: “Yes, yes, of course. Before the last match, I said, you know? ‘Just one more.’”",reaction,
"Karl-Anthony Towns: “Shoutout to my brother Anthony Edwards, talking to him all the time.“",reaction,
"[Highlight] Mitch Johnson asks for a coach's challenge right in front of the referee James Capers, but he doesn't call it. Instead, he receives a technical foul. The Spurs would have won the challenge, as the refs gave the ball to the Thunder after it went out of bounds off Chet Holmgren",news_information,
Scotto: Timberwolves want to re-sign Ayo Dosunmu...,news_information,Reporting rumors and roster information
Mike Brown: Chris Jent deserves an interview,news_information,Reporting a quote
Utah Jazz interested in re-signing Jusuf Nurkic,news_information,Transaction/news report
Wemby shoves Jalen Brunson then laughs,reaction,
NYC Mayor on cancelled watch party,news_information,
Suns will be $4.6M under tax after signing Gillespie,analysis,
"Dolan and politicians got 13 minutes, players got 2",analysis,
Russell Westbrook challenged reporters,reaction,
Brunson joking about Luka,reaction,
"Brunson: ""When you prove them wrong...""",reaction,
LeBron didn't know what a pantry was,reaction,
10 years ago LeBron won championship,reaction,
Rewatching Game 7 of 2016 Finals is crazy...,hot_take,
Kevin Love played defense of his life on Curry,reaction,
"Carmelo: ""We all won.""",reaction,
Beasley and Dwight ejected after scuffle,news_information,
Carmelo enjoying Knicks parade,reaction,
"Gillespie signs 4 years, $48M fully guaranteed",news_information,Contract news
"Brunson: ""Do I be myself, or do I talk my shit?""",reaction,Postgame reaction quote
Post Game Thread Knicks vs Spurs Game 1,news_information,Game result and box score
Can we get refcams like they have in the World Cup?,analysis,Discussion of rule/viewing improvement
Brunson passes Kyrie in playoff points,analysis,Statistical comparison and historical context
KAT talking about his mother giving him a sign,reaction,Emotional personal quote
Barkley on Hartenstein defense,reaction,Quote/reaction clip
Knicks fan tries to set Spurs fan on fire,news_information,Reporting an event
Jose Alvarado at Puerto Rican Day Parade,reaction,Parade/highlight content
Kendrick Perkins becomes Jackson State GM,news_information,Personnel news
Kevin Durant near series-ending winner (5 years ago),reaction,Historical highlight
Wembanyama on Popovich,reaction,Emotional quote
Fox on Wemby's blue-light glasses,reaction,Fun anecdote
Post Game Thread: Spurs force Game 7,news_information,Game result and box score
OG Anunoby before Jimmy Fallon,reaction,Highlight/photo/video
Gobert reflects on guarding Wemby,analysis,Discusses strategy and physical approach
14 years ago LeBron won first title,reaction,Historical memory post
MSG class action lawsuit,news_information,Legal/news report
Julius Randle was to Knicks what DeRozan was to Raptors,analysis,Detailed comparison and reasoning
20 years ago Miami Heat won first title,reaction,Historical remembrance
Fox is catching way too much blame,analysis,Long argument with evidence and examples
Draymond on Wemby's height,analysis,"Basketball reasoning, not just opinion"
NBA players with Cajun spelling,reaction,Joke/humor post
Kingston Flemings draft question,reaction,Funny quote/story
Luka Doncic highlights,reaction,Highlight reel
Knicks only third champion without MVP vote recipient,analysis,Historical statistical observation
"In retrospect, how do you feel about Ben Simmons forcing a trade?",analysis,Discussion and evaluation question
Mike Brown on Fox's bad defensive play,analysis,Coach explaining strategy and defensive mistake
NYPD confuses Tyler Kolek for a fan,reaction,Funny/parade moment
Becky Hammon: Brunson is too small to win,hot_take,Strong opinion/prediction proven wrong later
NYC Mayor Mamdani's entire parade speech,reaction,Parade/event content
Live from the Knicks parade,reaction,Event footage
Brunson crossover on Wemby highlight,reaction,Highlight clip
Josh Hart's wife sticks her thumb in a forbidden place,reaction,Funny/parade moment
KAT and Mayor Mamdani on float,reaction,Highlight/photo
"Brunson: ""When you prove them wrong...""",reaction,Emotional quote
20 Times Stephen Curry's Defense Dominated the Court,reaction,Highlight compilation
Mavericks actively exploring trade options,news_information,Trade report
LeBron talks about his absent father,reaction,Personal/emotional story
"Brunson: ""I miss the Texas taxes""",reaction,Funny quote
Has there ever been a prospect under 6'3 drafted over Wemby?,analysis,Basketball discussion/question
LeBron watching StreamEast,reaction,Funny/historical clip
Josh Hart on Finals ticket prices,reaction,Player quote/opinion
Fox should have sat out after ankle injury,analysis,Argument with reasoning
Jeremy Lin receives love from crowd,reaction,Highlight moment
LeBron on people enjoying his failures,reaction,Personal quote
J.R. Smith on 2018 Finals mistake,reaction,Story/quote
LeBron: nothing to do in San Antonio,reaction,Funny quote
I touched the Larry O'Brien Trophy,reaction,Fan experience
Steven Adams avoiding KG trash talk,reaction,Funny anecdote
Knicks fans react to OG tip-in,reaction,Crowd reaction
SAS: Knicks and Thunder next Finals if Chet can do a push-up,hot_take,Prediction/joke opinion
Georges Niang highlight,reaction,Highlight
Was this the real De'Aaron Fox experience?,analysis,Discussion/evaluation question
Bill Simmons: disappointing Wemby series,hot_take,Broad opinion about Wemby's impact
Day 6 of Sochan being shirtless,reaction,Meme/fun content
Big men reportedly want to play with Wemby,news_information,Rumor/report
Harrison Barnes foul highlight,reaction,Highlight
"Mike Brown starts ""Who Let the Dogs Out"" chant",reaction,Fun event clip
OG Anunoby gets key to the city,reaction,Parade/highlight
Champagnie emotional after being waived,reaction,Personal/emotional story
Jose Alvarado celebrating at parade,reaction,Celebration/highlight
Alicia Keys sings at parade,reaction,Event/highlight
Knicks to visit White House,news_information,Team/political news
"Brunson: ""Damn... We really did it dawg.""",reaction,Emotional reaction
Josh Hart takes selfies with fans,reaction,Parade moment
KAT and Wiggins won before Jimmy Butler,hot_take,"Comparing players, slight jab/opinion"
Devin Vassell on Dylan Harper role frustration,news_information,Reporting quote
Charania: President not attending Game 4,news_information,News report
Brunson named ECF MVP,reaction,Award/highlight
Mike Brown selfie with cop,reaction,Parade content
Mike Breen introduces Knicks,reaction,Ceremony content
NBA trades when?,reaction,Fan frustration/question
Crowd sings Empire State of Mind,reaction,Crowd reaction
Fans break through police barricades,reaction,Event footage
Haberstroh on SGA falling and expected points,analysis,Statistical argument
Emotional LeBron speech in Cleveland,reaction,Emotional speech
Blazers willing to trade picks for Giannis,news_information,Trade report
Leon Rose thanks fans,reaction,Speech/celebration
Walt Frazier arrives,reaction,Event update
Underdog refusing to stop SGA foul-baiting campaign,news_information,Business/legal news
Trae Young declining player option,news_information,Free agency news
Did Pacers trade for their pick because they knew about Haliburton?,analysis,Speculative reasoning/question
Chick-fil-A delivery through parade crowd,reaction,Funny event moment
Walt Frazier leading parade car,news_information,Event information
Knicks first team to win NBA Cup and Finals same season,analysis,Historical/statistical observation
Give me Wemby's raw emotion over nonchalant superstars,hot_take,Personal opinion and preference